subclip,w-axis,x-axis,y-axis,z-axis
00001-01,1.0836836411352746,0.990442865181373,0.4863453729917404,0.6367980242192767
00001-02,4.475934639416136,2.1441510964388937,2.1793401008976114,1.6464513323800303
00001-03,2.550493856589959,1.5489578313574088,0.17532342270155857,1.4225600214888297
00001-04,3.1189290820221247,1.5762781501045586,1.463068003945644,0.9315135661496129
00001-05,1.2492554023616054,2.427834495280248,0.7795623977498715,1.225243088739383
00001-06,1.9952823028507949,2.5482159277966363,3.0576165263825663,2.6840988238116665
00001-07,0.6172966970278717,0.9984710637724336,1.8331562362082496,1.0570635636399652
00001-08,2.396116282291656,0.797363141491786,1.326924418504539,1.0776902905846826
00001-09,0.7300569515602894,0.982924054432328,0.8961205134198054,0.5854757853416577
00001-10,3.0466363038999744,1.2038625026726366,2.5604624186975804,2.2656286851676066
00001-11,1.9837252445473739,1.5390791830914332,1.0821420965998003,0.810345000334276
00001-12,1.4641519658995372,1.1273917448771982,0.6924857341136942,0.290751966804509
00002-01,0.8878760826547264,2.0604057427588516,0.901618091356753,1.3565538870464025
00002-02,4.3881235726008425,7.208196955322312,5.881007738467649,3.146768837646874
00002-03,0.4543344991577474,2.934719776363463,2.623128871133053,0.8322648021448186
00002-04,3.4426955081734185,2.8689668536055697,2.9424907357533283,1.022239289202888
00002-05,0.2924332847398763,1.2587987480177492,2.147590428503683,0.9231496129231825
00002-06,2.365522284491315,2.5114828995338323,3.4809167949143704,0.8448566499108836
00002-07,1.1716001703071686,2.1933629422371688,3.2569625467447003,0.21371770701544737
00002-08,2.189170862549304,3.039573486185091,1.2632860881664014,0.4525145511963736
00002-09,1.0251315385914617,1.9081694046632642,1.9131410846547254,0.10902810708282926
00002-10,3.0303418562535662,1.578216055247653,2.595188720398652,1.9281319994391102
00002-11,5.553472503632842,1.4404898623741196,4.240010004937485,0.9378431721718838
00002-12,0.774685595230692,1.7435048690786705,0.6812767278098705,0.29731622632697147
00003-01,2.99548358801459,6.432911371909712,2.726498987492062,6.4670379384528
00003-02,4.368199373889205,12.261451052769951,4.027850807990977,8.536974302006433
00003-03,1.5680957179331254,8.089626300081342,1.0655821830300707,3.582096916364215
00003-04,1.5351412395876307,5.975112898666049,2.2319351944789374,5.56348951639062
00003-05,0.6741620224482487,2.7795854843295698,2.9625590945747446,2.217808126144092
00003-06,2.639050215805187,2.156264598711177,0.7493625718116159,3.4252165435550923
00003-07,2.7981878215196003,2.9860496211026293,1.1705377061358861,1.633156545082144
00003-08,2.7040693429996407,9.481987674663781,1.3421551412074373,1.748402683209065
00003-09,0.8148484347811468,3.0335571728886,3.1604444813346038,1.1519075911089771
00003-10,2.0074033543014838,2.0255518502206424,1.8607598980518523,2.5903440781896467
00003-11,0.17252605133904733,0.39068027707716196,2.321860818215935,0.4156613939883882
00003-12,1.9041475831681016,5.817886838937091,2.5793553545542407,1.5819107628862983
00004-01,2.2816595200876666,2.2411015165230217,4.053038092898947,8.385878964022579
00004-02,3.670930354857264,9.74072013426153,7.157524709211807,12.68269714678459
00004-03,0.9073477984180977,5.512727832565384,4.025016187212701,5.179177602037763
00004-04,1.0247021723998169,2.5677054054153423,4.366120156771059,8.667956523916281
00004-05,2.1480088289254806,4.062888980893941,4.669964918184663,3.5167682934887963
00004-06,3.411592323431165,3.8693982872832944,3.900683252443311,3.6131794804659796
00004-07,7.023785336449734,5.301761904372832,1.8140344888432562,1.9636627538059064
00004-08,4.231507139053869,7.904747091173097,1.7808876423904143,2.398398668556979
00004-09,1.9552616403273861,3.024747238130236,3.6958939763309955,1.1668608154832245
00004-10,0.6441026461344349,2.1223366445999434,0.5170442048071411,1.3543057366577351
00004-11,0.07436941902132187,0.5097518162421768,1.2015084839110433,0.7081179349398025
00004-12,3.0728789253276374,5.780813025919636,1.4057160548403316,1.4059741452824848
00005-01,0.6133643006175729,1.4700784298568577,0.5164195023985948,1.1171360938039718
